country,platform,month_latest,month_prev,seller_used_id,seller_name,final_revenue,final_revenue_prev,delta_final_revenue,growth_rate_revenue,final_quantity,final_quantity_prev,delta_final_quantity,growth_rate_quantity,abnormal_type,risk_level,computation_label_prev,computation_label_latest
PH,SHP,2025-11,2025-10,PH.SHP.105887956,,58752.0,1996.0,56756.0,2843.49%,54.0,2.0,52.0,2600.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1069096781,,5780.0,1300.0,4480.0,344.62%,85.0,20.0,65.0,325.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1074462544,,9672.0,1050.0,8622.0,821.14%,156.0,7.0,149.0,2128.57%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.10782362,,559000.0,26108.0,532892.0,2041.11%,1625.0,107.0,1518.0,1418.69%,source-switch,medium,S3,S5
PH,SHP,2025-11,2025-10,PH.SHP.1081060098,,3349.0,798.0,2551.0,319.67%,31.0,2.0,29.0,1450.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1096059581,,10461.0,2375.0,8086.0,340.46%,121.0,25.0,96.0,384.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1106283471,,5233.0,1239.0,3994.0,322.36%,42.0,9.0,33.0,366.67%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1112282680,,26940.0,2340.0,24600.0,1051.28%,184.0,13.0,171.0,1315.38%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1113693187,,3640.0,280.0,3360.0,1200.0%,10.0,2.0,8.0,400.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1139553106,,86621.0,7475.0,79146.0,1058.81%,282.0,25.0,257.0,1028.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1159531017,,3059.0,630.0,2429.0,385.56%,24.0,5.0,19.0,380.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.116535824,,11565.0,1768.0,9797.0,554.13%,24.0,8.0,16.0,200.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.116939378,,8827.0,729.0,8098.0,1110.84%,13.0,1.0,12.0,1200.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1171878193,,1393800.0,1192.0,1392608.0,116829.53%,10100.0,8.0,10092.0,126150.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1175543705,,790.0,19.0,771.0,4057.89%,10.0,1.0,9.0,900.0%,base-effect,low,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1188414966,,12558.0,740.0,11818.0,1597.03%,91.0,5.0,86.0,1720.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1191370951,,1033.0,214.0,819.0,382.71%,2.0,1.0,1.0,100.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1195230934,,4579067.0,62964.0,4516103.0,7172.52%,52987.0,594.0,52393.0,8820.37%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1197524900,,7485.0,2295.0,5190.0,226.14%,15.0,5.0,10.0,200.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1214826674,,2356.0,99.0,2257.0,2279.8%,5.0,1.0,4.0,400.0%,base-effect,low,S5,S4
PH,SHP,2025-11,2025-10,PH.SHP.1224189491,,3476.0,395.0,3081.0,780.0%,44.0,5.0,39.0,780.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1241087836,,4536.0,630.0,3906.0,620.0%,36.0,5.0,31.0,620.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1244791873,,451964.0,16247.0,435717.0,2681.83%,278.0,211.0,67.0,31.75%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1245401746,,15512.0,2548.0,12964.0,508.79%,90.0,26.0,64.0,246.15%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1256129911,,63282.0,2023.0,61259.0,3028.13%,398.0,17.0,381.0,2241.18%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1261712819,,8200.0,2250.0,5950.0,264.44%,9.0,5.0,4.0,80.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.126914829,,72565.0,300.0,72265.0,24088.33%,297.0,4.0,293.0,7325.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1271817652,,20852.0,5328.0,15524.0,291.37%,35.0,26.0,9.0,34.62%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1284416290,,15080.0,441.0,14639.0,3319.5%,106.0,3.0,103.0,3433.33%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1285337285,,7916.0,2178.0,5738.0,263.45%,12.0,2.0,10.0,500.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.129187738,,1354306.0,108634.0,1245672.0,1146.67%,17929.0,1399.0,16530.0,1181.56%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1295062901,,35420.0,3220.0,32200.0,1000.0%,22.0,2.0,20.0,1000.0%,source-switch,medium,S4,S5
PH,SHP,2025-11,2025-10,PH.SHP.1302048862,,3182.0,229.0,2953.0,1289.52%,9.0,1.0,8.0,800.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1303943303,,63789.0,698.0,63091.0,9038.83%,2407.0,5.0,2402.0,48040.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1330859090,,4720.0,1270.0,3450.0,271.65%,8.0,2.0,6.0,300.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1337540846,,17682.0,5867.0,11815.0,201.38%,220.0,84.0,136.0,161.9%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1356486206,,3506.0,376.0,3130.0,832.45%,11.0,1.0,10.0,1000.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.13634024,,4675.0,185.0,4490.0,2427.03%,17.0,1.0,16.0,1600.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1377686634,,112498.0,22503.0,89995.0,399.92%,1075.0,245.0,830.0,338.78%,source-switch,medium,S3,S5
PH,SHP,2025-11,2025-10,PH.SHP.1388065926,,4033.0,932.0,3101.0,332.73%,52.0,8.0,44.0,550.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1398836323,,41128.0,7142.0,33986.0,475.86%,233.0,63.0,170.0,269.84%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1417724357,,1380.0,400.0,980.0,245.0%,5.0,2.0,3.0,150.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1453642540,,42674.0,8050.0,34624.0,430.11%,229.0,50.0,179.0,358.0%,source-switch,medium,S4,S5
PH,SHP,2025-11,2025-10,PH.SHP.14672811,,23364.0,188.0,23176.0,12327.66%,118.0,1.0,117.0,11700.0%,source-switch,medium,S4,S5
PH,SHP,2025-11,2025-10,PH.SHP.1471230969,,1120.0,125.0,995.0,796.0%,14.0,5.0,9.0,180.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1477123557,,18124.0,785.0,17339.0,2208.79%,203.0,8.0,195.0,2437.5%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1488057000,,149639.0,16290.0,133349.0,818.59%,899.0,170.0,729.0,428.82%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1491216211,,16021.0,336.0,15685.0,4668.15%,143.0,12.0,131.0,1091.67%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1493928619,,308.0,44.0,264.0,600.0%,7.0,1.0,6.0,600.0%,base-effect,low,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1504705808,,3727.0,1194.0,2533.0,212.14%,13.0,6.0,7.0,116.67%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.151324489,,30771.0,7448.0,23323.0,313.14%,651.0,152.0,499.0,328.29%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1514348838,,4991.0,700.0,4291.0,613.0%,89.0,4.0,85.0,2125.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1518992623,,25519.0,147.0,25372.0,17259.86%,151.0,3.0,148.0,4933.33%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1538028753,,8930.0,1000.0,7930.0,793.0%,101.0,8.0,93.0,1162.5%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1545423316,,689.0,53.0,636.0,1200.0%,13.0,1.0,12.0,1200.0%,base-effect,low,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.154901003,,328.0,88.0,240.0,272.73%,4.0,4.0,0.0,0.0%,base-effect,low,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1550402929,,9573.0,2299.0,7274.0,316.4%,121.0,30.0,91.0,303.33%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.155242398,,114156.0,2030.0,112126.0,5523.45%,1057.0,7.0,1050.0,15000.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1603118205,,1113.0,258.0,855.0,331.4%,7.0,2.0,5.0,250.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1619980625,,5511.0,725.0,4786.0,660.14%,11.0,1.0,10.0,1000.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1634825070,,295651.0,38794.0,256857.0,662.1%,108.0,39.0,69.0,176.92%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1636611096,,264.0,81.0,183.0,225.93%,6.0,1.0,5.0,500.0%,base-effect,low,S5,S5
