country,platform,category_url,month_latest,month_prev,spu_count_prev,spu_count_latest,spu_ratio_vs_prev,status
PH,SHP,DISINFECTANT AEROSOL,2025-12,2025-11,0.0,349,-,new-in-latest
PH,SHP,HAIR REMOVAL,2025-12,2025-11,0.0,349,-,new-in-latest
PH,SHP,LUBRICANTS,2025-12,2025-11,0.0,349,-,new-in-latest
PH,SHP,MILK POWDER FOR ADULTS,2025-12,2025-11,0.0,349,-,new-in-latest
PH,SHP,MILK POWDER FOR INFANTS AND CHILDREN,2025-12,2025-11,0.0,349,-,new-in-latest
PH,SHP,MULTI-ACTION CLEANER,2025-12,2025-11,0.0,349,-,new-in-latest
PH,SHP,MULTI-INSECT KILLER SPRAY INSECTICIDE,2025-12,2025-11,0.0,349,-,new-in-latest
PH,SHP,PHARYNGEAL PREPARATIONS,2025-12,2025-11,0.0,349,-,new-in-latest
PH,SHP,READY-TO-DRINK MILK,2025-12,2025-11,0.0,349,-,new-in-latest
PH,SHP,SEX TOYS,2025-12,2025-11,0.0,334,-,new-in-latest
PH,SHP,https://shopee.ph/Adult-Toys-cat.11021260.11021341.11021343,2025-12,2025-11,300.0,462,154.0%,normal
PH,SHP,https://shopee.ph/Candy-cat.11021197.11021224.11021226,2025-12,2025-11,300.0,408,136.0%,normal
PH,SHP,https://shopee.ph/Chocolates-cat.11021197.11021224.11021227,2025-12,2025-11,300.0,414,138.0%,normal
PH,SHP,https://shopee.ph/Cleaning-Soap-cat.11021197.11021207.11021208,2025-12,2025-11,300.0,459,153.0%,normal
PH,SHP,https://shopee.ph/Condoms-cat.11021260.11021341.11021342,2025-12,2025-11,300.0,451,150.33%,normal
PH,SHP,https://shopee.ph/Disposable-Diaper-cat.11021766.11021769.11021771,2025-12,2025-11,300.0,465,155.0%,normal
PH,SHP,https://shopee.ph/Feminine-Care-cat.11021260.11021293.11021298,2025-12,2025-11,300.0,444,148.0%,normal
PH,SHP,https://shopee.ph/Growing-Up-Milk-(3-years-)-cat.11021766.11021780.11021802,2025-12,2025-11,300.0,418,139.33%,normal
PH,SHP,https://shopee.ph/Hair-Removal-cat.11021260.11021293.11021295,2025-12,2025-11,300.0,433,144.33%,normal
PH,SHP,https://shopee.ph/Lubricants-cat.11021260.11021341.11021344,2025-12,2025-11,300.0,451,150.33%,normal
PH,SHP,https://shopee.ph/Milk-Powder-cat.11021197.11021200.11044675,2025-12,2025-11,300.0,448,149.33%,normal
PH,SHP,https://shopee.ph/Over-the-Counter-Medicine-cat.11021260.11021330.11021339,2025-12,2025-11,300.0,343,114.33%,normal
PH,SHP,https://shopee.ph/Pet-Food-Treats-cat.11021881.11021884,2025-12,2025-11,300.0,423,141.0%,normal
PH,SHP,https://shopee.ph/Rodent-Insect-Control-cat.11021407.11021568.11021570,2025-12,2025-11,300.0,426,142.0%,normal
PH,SHP,https://shopee.ph/Wipes-cat.11021766.11021769.11021777,2025-12,2025-11,300.0,424,141.33%,normal
SG,LAZ,https://www.lazada.sg/baby-toddler-foods,2025-12,2025-11,400.0,360,90.0%,normal
SG,LAZ,https://www.lazada.sg/coffee,2025-12,2025-11,320.0,360,112.5%,normal
SG,LAZ,https://www.lazada.sg/hot-chocolate,2025-12,2025-11,360.0,307,85.28%,normal
SG,LAZ,https://www.lazada.sg/shop-Groceries-ChocolateSnacksSweets-Chocolate,2025-12,2025-11,304.0,361,118.75%,normal
SG,LAZ,https://www.lazada.sg/shop-Groceries-ChocolateSnacksSweets-Mints,2025-12,2025-11,480.0,315,65.62%,abnormal-drop
SG,LAZ,https://www.lazada.sg/shop-baby-wipes-refills/,2025-12,2025-11,336.0,320,95.24%,normal
SG,LAZ,https://www.lazada.sg/shop-cat-food,2025-12,2025-11,400.0,303,75.75%,abnormal-drop
SG,LAZ,https://www.lazada.sg/shop-cat-litter,2025-12,2025-11,375.0,334,89.07%,normal
SG,LAZ,https://www.lazada.sg/shop-coffee-machines,2025-12,2025-11,324.0,401,123.77%,normal
SG,LAZ,https://www.lazada.sg/shop-disposable-diapers/,2025-12,2025-11,359.0,306,85.24%,normal
SG,LAZ,https://www.lazada.sg/shop-dog-food,2025-12,2025-11,356.0,300,84.27%,normal
SG,LAZ,https://www.lazada.sg/shop-followon-milk-formula,2025-12,2025-11,178.0,163,91.57%,normal
SG,LAZ,https://www.lazada.sg/shop-formula-milk,2025-12,2025-11,400.0,427,106.75%,normal
SG,LAZ,https://www.lazada.sg/shop-green-black-&-classic-tea,2025-12,2025-11,301.0,360,119.6%,normal
SG,LAZ,https://www.lazada.sg/shop-groceries-beverages-coffee-coffeecapsules,2025-12,2025-11,320.0,399,124.69%,normal
SG,LAZ,https://www.lazada.sg/shop-groceries-beverages-coffee-groundcoffee,2025-12,2025-11,281.0,328,116.73%,normal
SG,LAZ,https://www.lazada.sg/shop-groceries-beverages-coffee-instantcoffee,2025-12,2025-11,399.0,360,90.23%,normal
SG,LAZ,https://www.lazada.sg/shop-groceries-beverages-coffee-readytodrinkcoffee,2025-12,2025-11,337.0,340,100.89%,normal
SG,LAZ,https://www.lazada.sg/shop-groceries-beverages-uht-milk-milk-powder-condensed-milk,2025-12,2025-11,199.0,180,90.45%,normal
SG,LAZ,https://www.lazada.sg/shop-groceries-chocolatesnackssweets-sweets-chewycandy,2025-12,2025-11,356.0,301,84.55%,normal
SG,LAZ,https://www.lazada.sg/shop-groceries-dairychilled-freshmilk,2025-12,2025-11,280.0,233,83.21%,normal
SG,LAZ,https://www.lazada.sg/shop-groceries-dairychilled-readymealsreadytocook-chilledreadymeals,2025-12,2025-11,356.0,271,76.12%,abnormal-drop
SG,LAZ,https://www.lazada.sg/shop-groceries-foodstaplescookingessentials-cannedfood,2025-12,2025-11,341.0,325,95.31%,normal
SG,LAZ,https://www.lazada.sg/shop-growth-milk,2025-12,2025-11,251.0,330,131.47%,normal
SG,LAZ,https://www.lazada.sg/shop-hb-sanitary-napkins/?,2025-12,2025-11,360.0,369,102.5%,normal
SG,LAZ,https://www.lazada.sg/shop-infant-milk,2025-12,2025-11,158.0,159,100.63%,normal
SG,LAZ,https://www.lazada.sg/shop-maternal-milk,2025-12,2025-11,245.0,240,97.96%,normal
SG,LAZ,https://www.lazada.sg/shop-sugar,2025-12,2025-11,320.0,322,100.63%,normal
SG,LAZ,https://www.lazada.sg/shop-toddler-milk,2025-12,2025-11,317.0,334,105.36%,normal
SG,LAZ,https://www.lazada.sg/shop-uht-milk-ready-to-drink,2025-12,2025-11,440.0,359,81.59%,normal
SG,LAZ,https://www.lazada.sg/shop-well-being,2025-12,2025-11,357.0,360,100.84%,normal
SG,SHP,https://shopee.sg/Baby-Food-cat.11011538.11011639.11011650,2025-12,2025-11,300.0,416,138.67%,normal
SG,SHP,https://shopee.sg/Baby-Wipes-cat.11011538.11011584.11011588,2025-12,2025-11,300.0,402,134.0%,normal
SG,SHP,https://shopee.sg/Candy-cat.11011871.11011998.11012006,2025-12,2025-11,300.0,396,132.0%,normal
