country,platform,month_latest,month_prev,seller_used_id,seller_name,abnormal_type,computation_label_prev,computation_label_latest,has_S1_prev,has_S1_latest,has_S3_prev,has_S3_latest,historical_quantity_prev,historical_quantity_latest,historical_review_prev,historical_review_latest,final_asp_prev,final_asp_latest
PH,LAZ,2025-11,2025-10,PH.LAZ.500172285134,,source-switch,S2,S5,False,False,False,False,528.0,528.0,134.0,134.0,899.0,899.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500172417149,,source-switch,S6,S5,False,False,True,False,307927.0,308000.0,79010.0,79018.0,297.0307051282051,357.9507124681934
PH,LAZ,2025-11,2025-10,PH.LAZ.500172525207,,source-switch,S3,S5,False,False,True,False,88595.0,88711.0,25600.0,25647.0,219.77,127.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500173680029,,spike-out-trend,S5,S5,False,False,False,False,1515.0,1892.0,234.0,756.0,254.45,203.0925
PH,LAZ,2025-11,2025-10,PH.LAZ.500173767137,,source-switch,S3,S5,False,False,True,False,660.0,7573.0,173.0,1332.0,239.0,159.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500173776149,,spike-out-trend,S5,S5,False,False,False,False,2845.0,6307.0,707.0,1676.0,480.0,456.25
PH,LAZ,2025-11,2025-10,PH.LAZ.500174016052,,source-switch,S3,S5,False,False,True,False,8339.0,8422.0,1929.0,1940.0,103.0,111.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500174109038,,source-switch,S2,S4,False,False,True,False,572.0,1640.0,129.0,312.0,406.0,279.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500174112028,,spike-out-trend,S5,S5,False,False,False,False,4485.0,4494.0,427.0,521.0,26.166666666666668,58.5
PH,LAZ,2025-11,2025-10,PH.LAZ.500174307087,,source-switch,S3,S5,False,False,True,False,2877.0,2559.0,254.0,236.0,18.0,49.8
PH,LAZ,2025-11,2025-10,PH.LAZ.500174583118,,source-switch,S3,S5,False,False,True,False,3617.0,3623.0,940.0,941.0,96.03,99.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500174853036,,spike-out-trend,S5,S5,False,False,False,False,606.0,3998.0,90.0,598.0,101.87,52.666666666666664
PH,LAZ,2025-11,2025-10,PH.LAZ.500174883103,,source-switch,S3,S5,False,False,True,False,19374.0,19566.0,2868.0,2894.0,58.0,64.6
PH,LAZ,2025-11,2025-10,PH.LAZ.500175627137,,spike-out-trend,S5,S5,False,False,True,False,5428.0,5429.0,616.0,617.0,131.5,247.75
PH,LAZ,2025-11,2025-10,PH.LAZ.500175900053,,base-effect,S5,S5,False,False,False,False,320.0,437.0,14.0,23.0,89.0,323.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500177367051,,spike-out-trend,S5,S5,False,False,False,False,97.0,1191.0,37.0,187.0,581.03,231.4725
PH,LAZ,2025-11,2025-10,PH.LAZ.500177433171,,source-switch,S3,S5,False,False,True,False,6200.0,6218.0,686.0,690.0,39.0,38.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500178681287,,source-switch,S3,S5,False,False,True,False,2741.0,2750.0,602.0,604.0,349.03,395.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500179635023,,spike-out-trend,S5,S5,False,False,False,False,1529.0,3070.0,117.0,559.0,66.58,267.354
PH,LAZ,2025-11,2025-10,PH.LAZ.500179761250,,base-effect,S5,S5,False,False,False,False,62.0,307.0,9.0,34.0,72.0,192.25
PH,LAZ,2025-11,2025-10,PH.LAZ.500180631578,,source-switch,S3,S5,False,False,True,False,3243.0,3259.0,765.0,766.0,589.0,589.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500180664562,,spike-out-trend,S5,S5,False,False,False,False,91.0,359.0,22.0,159.0,399.0,196.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500180694048,,source-switch,S3,S5,False,False,True,False,241.0,245.0,47.0,60.0,63.05,230.2
PH,LAZ,2025-11,2025-10,PH.LAZ.500180712134,,source-switch,S2,S5,False,False,False,False,672.0,676.0,366.0,372.0,124.0,224.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500181963014,,source-switch,S3,S5,False,False,True,False,4651.0,4665.0,1597.0,1604.0,239.0,229.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500184141299,,spike-out-trend,S5,S5,False,False,False,False,134.0,3328.0,25.0,472.0,96.03,89.0725
PH,LAZ,2025-11,2025-10,PH.LAZ.500184243156,,spike-out-trend,S5,S5,False,False,False,False,53.0,66.0,13.0,16.0,150.0,161.66666666666666
PH,LAZ,2025-11,2025-10,PH.LAZ.500184327499,,spike-out-trend,S5,S5,False,False,False,False,4499.0,4503.0,298.0,298.0,2642.0,2642.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500184813126,,spike-out-trend,S5,S5,False,False,False,False,119.0,211.0,28.0,55.0,129.0,132.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500186229074,,source-switch,S2,S5,False,False,False,False,3510.0,3525.0,1153.0,1159.0,70.5,75.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500186502029,,source-switch,S3,S5,False,False,True,False,20767.0,20883.0,6135.0,6181.0,100.0,115.2
PH,LAZ,2025-11,2025-10,PH.LAZ.500187495023,,source-switch,S3,S5,False,False,True,False,4226.0,4243.0,1097.0,1101.0,113.17,128.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500187903053,,source-switch,S2,S5,False,False,False,False,802.0,1814.0,63.0,244.0,109.0,119.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500188659031,,source-switch,S6,S5,False,False,True,False,31788.0,33300.0,6193.0,6641.0,150.48624999999998,150.62116788321165
PH,LAZ,2025-11,2025-10,PH.LAZ.500189142173,,spike-out-trend,S5,S5,False,False,False,False,768.0,7988.0,123.0,1459.0,76.63,67.815
PH,LAZ,2025-11,2025-10,PH.LAZ.500189784121,,base-effect,S5,S5,False,False,False,False,87.0,306.0,8.0,84.0,38.8,90.5
PH,LAZ,2025-11,2025-10,PH.LAZ.500190381035,,source-switch,S2,S5,False,False,False,False,2811.0,2814.0,259.0,259.0,270.63,279.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500193150654,,source-switch,S3,S5,False,False,True,False,20305.0,20327.0,4480.0,4495.0,388.0,399.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500208546479,,source-switch,S3,S5,False,False,True,False,3239.0,3247.0,738.0,738.0,1499.0,1499.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500215971460,,spike-out-trend,S5,S5,False,False,False,False,600.0,889.0,12.0,24.0,517.0,435.6666666666667
PH,LAZ,2025-11,2025-10,PH.LAZ.500218206518,,source-switch,S3,S5,False,False,True,False,20085.0,20600.0,5388.0,5461.0,296.3261557948068,370.3345174659562
PH,LAZ,2025-11,2025-10,PH.LAZ.500222577783,,source-switch,S2,S5,False,False,False,False,692.0,2721.0,345.0,1111.0,209.0,229.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500222637661,,spike-out-trend,S5,S5,False,False,False,False,107.0,3037.0,24.0,714.0,57.0,37.29
PH,LAZ,2025-11,2025-10,PH.LAZ.500223204113,,spike-out-trend,S5,S5,False,False,False,False,89.0,419.0,18.0,127.0,167.58,173.11111111111111
PH,LAZ,2025-11,2025-10,PH.LAZ.500225847410,,source-switch,S3,S5,False,False,True,False,2183.0,2200.0,640.0,641.0,239.0,239.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500230416636,,base-effect,S5,S5,False,False,False,False,80.0,1131.0,16.0,290.0,49.0,49.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500239647097,,source-switch,S3,S5,False,False,True,False,11532.0,11546.0,4318.0,3922.0,293.5,279.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500240955861,,source-switch,S2,S5,False,False,False,False,12.0,43.0,7.0,9.0,128.0,409.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500243967936,,source-switch,S3,S5,False,False,True,False,57761.0,57978.0,21051.0,21118.0,325.3333333333333,332.75
PH,LAZ,2025-11,2025-10,PH.LAZ.500243982273,,source-switch,S3,S5,False,False,True,False,26523.0,26580.0,10825.0,10836.0,209.0,209.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500246442358,,source-switch,S3,S5,False,False,True,False,1456.0,1464.0,497.0,497.0,408.0,490.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500257314393,,spike-out-trend,S5,S5,False,False,False,False,90.0,413.0,16.0,107.0,180.0,158.875
PH,LAZ,2025-11,2025-10,PH.LAZ.500271282258,,source-switch,S2,S5,False,False,True,False,5968.0,5973.0,958.0,959.0,84.27000000000001,83.33333333333333
PH,LAZ,2025-11,2025-10,PH.LAZ.500273946584,,base-effect,S5,S5,False,False,False,False,136.0,290.0,35.0,96.0,19.0,64.5
PH,LAZ,2025-11,2025-10,PH.LAZ.500288976637,,source-switch,S3,S5,False,False,True,False,9096.0,9108.0,2581.0,2585.0,260.93,269.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500302140188,,spike-out-trend,S5,S5,False,False,False,False,650.0,650.0,534.0,534.0,484.03,669.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500321433115,,source-switch,S3,S5,False,False,True,False,1811.0,1818.0,805.0,805.0,258.6666666666667,215.33333333333334
PH,LAZ,2025-11,2025-10,PH.LAZ.500358352017,,source-switch,S3,S5,False,False,True,False,303.0,3569.0,83.0,1073.0,87.3,139.07
PH,LAZ,2025-11,2025-10,PH.LAZ.500360096109,,source-switch,S2,S5,False,False,False,False,1199.0,1767.0,471.0,305.0,217.0,355.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500376752144,,source-switch,S3,S5,False,False,True,False,1850.0,1859.0,666.0,669.0,169.0,169.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500376752817,,base-effect,S5,S5,False,False,False,False,132.0,2567.0,30.0,725.0,30.07,51.5
PH,LAZ,2025-11,2025-10,PH.LAZ.500383840932,,source-switch,S2,S5,False,False,False,False,195.0,515.0,46.0,159.0,107.03,111.66666666666667
PH,LAZ,2025-11,2025-10,PH.LAZ.500389120521,,source-switch,S2,S5,False,False,False,False,1081.0,1087.0,348.0,349.0,239.0,239.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500394848950,,source-switch,S3,S5,False,False,True,False,6693.0,6724.0,1864.0,1876.0,48.0,40.25
PH,LAZ,2025-11,2025-10,PH.LAZ.500402000772,,spike-out-trend,S5,S5,False,False,False,False,389.0,6372.0,163.0,2768.0,229.0,229.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500419168036,,spike-out-trend,S5,S5,False,False,False,False,68.0,2720.0,14.0,510.0,356.0,117.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500421632686,,source-switch,S3,S5,False,False,True,False,1964.0,6679.0,235.0,1119.0,159.0,144.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500426992102,,source-switch,S3,S5,False,False,True,False,485.0,486.0,1805.0,1806.0,344.83,269.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500430128217,,spike-out-trend,S5,S5,False,False,False,False,1903.0,3961.0,167.0,461.0,159.0,142.33333333333334
PH,LAZ,2025-11,2025-10,PH.LAZ.500436496918,,spike-out-trend,S5,S5,False,False,False,False,3732.0,13610.0,1116.0,3215.0,130.95,149.04999999999998
PH,LAZ,2025-11,2025-10,PH.LAZ.500438432682,,source-switch,S2,S5,False,False,True,False,106194.0,124800.0,57810.0,65236.0,452.4392361111111,472.09085393258425
PH,LAZ,2025-11,2025-10,PH.LAZ.500474944731,,spike-out-trend,S5,S5,False,False,False,False,365.0,10980.0,154.0,2797.0,217.55,214.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500518576798,,base-effect,S5,S5,False,False,False,False,239.0,239.0,29.0,66.0,15.0,42.5
PH,LAZ,2025-11,2025-10,PH.LAZ.500522544151,,source-switch,S3,S5,False,False,True,False,1163.0,1540.0,251.0,209.0,25.0,197.58333333333334
PH,LAZ,2025-11,2025-10,PH.LAZ.500529696091,,source-switch,S2,S5,False,False,False,False,444.0,446.0,109.0,109.0,165.0,162.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500531328106,,source-switch,S3,S5,False,False,True,False,3197.0,6360.0,87.0,174.0,76.0,87.75
PH,LAZ,2025-11,2025-10,PH.LAZ.500555632500,,source-switch,S3,S5,False,False,True,False,5680.0,5703.0,2747.0,2749.0,139.0,139.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500555744805,,spike-out-trend,S5,S5,False,False,False,False,72.0,573.0,13.0,220.0,118.0,197.75
PH,LAZ,2025-11,2025-10,PH.LAZ.500563360113,,spike-out-trend,S5,S5,False,False,False,False,305.0,305.0,172.0,172.0,66.1,204.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500599152539,,spike-out-trend,S5,S5,False,False,True,False,706.0,4838.0,269.0,4405.0,1470.6943362831857,1328.1930124223604
PH,LAZ,2025-11,2025-10,PH.LAZ.500603760043,,spike-out-trend,S5,S5,False,False,False,False,125.0,2803.0,47.0,1178.0,135.91,156.02
PH,LAZ,2025-11,2025-10,PH.LAZ.500608320764,,spike-out-trend,S5,S5,False,False,False,False,1855.0,25896.0,721.0,7972.0,143.0,138.8
PH,LAZ,2025-11,2025-10,PH.LAZ.500649024691,,source-switch,S3,S5,False,False,True,False,114.0,1931.0,21.0,638.0,140.0,162.75
PH,LAZ,2025-11,2025-10,PH.LAZ.500657152750,,source-switch,S3,S5,False,False,True,False,262.0,16804.0,90.0,4840.0,117.6,125.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500699024699,,source-switch,S2,S5,False,False,False,False,113.0,392.0,48.0,127.0,1182.43,1503.243333333333
PH,LAZ,2025-11,2025-10,PH.LAZ.500724144704,,source-switch,S3,S5,False,False,True,False,910.0,916.0,329.0,329.0,188.0,188.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500744144621,,base-effect,S5,S5,False,False,False,False,119.0,64.0,9.0,21.0,28.0,98.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500758576773,,spike-out-trend,S5,S5,False,False,False,False,178.0,297.0,19.0,61.0,262.0,165.71428571428572
PH,LAZ,2025-11,2025-10,PH.LAZ.500794784085,,source-switch,S2,S5,False,False,False,False,181.0,970.0,14.0,153.0,94.66666666666667,132.33333333333334
PH,LAZ,2025-11,2025-10,PH.LAZ.500852784754,,source-switch,S3,S5,False,False,True,False,1227.0,1438.0,225.0,252.0,29.1,173.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500861936382,,spike-out-trend,S5,S5,False,False,False,False,907.0,6468.0,178.0,1314.0,287.0,156.85714285714286
PH,LAZ,2025-11,2025-10,PH.LAZ.500865440694,,spike-out-trend,S5,S5,False,False,False,False,585.0,1407.0,297.0,610.0,264.11,153.79500000000002
PH,LAZ,2025-11,2025-10,PH.LAZ.500893120490,,spike-out-trend,S5,S5,False,False,True,False,1173.0,1195.0,229.0,699.0,89.4,456.2
PH,LAZ,2025-11,2025-10,PH.LAZ.500915552926,,source-switch,S3,S5,False,False,True,False,2406.0,2424.0,1567.0,1572.0,158.0,158.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500976832405,,spike-out-trend,S5,S5,False,False,False,False,338.0,2113.0,43.0,353.0,169.0,142.0
PH,LAZ,2025-11,2025-10,PH.LAZ.501062224950,,spike-out-trend,S5,S5,False,False,False,False,349.0,3051.0,60.0,288.0,68.5,136.25
