country,platform,category_url
PH,LAZ,https://www.lazada.com.ph/shop-groceries-household-cleaning-bathroomtoilet-toiletcleaners/?spm=a2o4l.pdp_revamp.breadcrumb.4.4d877b9cPWLnLx
PH,SHP,https://shopee.ph/Over-the-Counter-Medicine-cat.11021260.11021330.11021339
PH,SHP,https://shopee.ph/Cleaning-Soap-cat.11021197.11021207.11021208
PH,SHP,https://shopee.ph/Condoms-cat.11021260.11021341.11021342
PH,SHP,https://shopee.ph/Hair-Removal-cat.11021260.11021293.11021295
PH,SHP,https://shopee.ph/Lubricants-cat.11021260.11021341.11021344
PH,SHP,https://shopee.ph/Milk-Powder-cat.11021197.11021200.11044675
PH,SHP,https://shopee.ph/Growing-Up-Milk-(3-years-)-cat.11021766.11021780.11021802
PH,SHP,https://shopee.ph/Rodent-Insect-Control-cat.11021407.11021568.11021570
PH,SHP,https://shopee.ph/Adult-Toys-cat.11021260.11021341.11021343
VN,SHP,https://shopee.vn/Adult-Diapers-Incontinence-cat.11036345.11036370
TH,SHP,https://shopee.co.th/Adult-Diapers-cat.11044942.11045039.11045297
MY,SHP,https://shopee.com.my/Adult-Diapers-cat.11000168.11000272.11000279
VN,LAZ,https://www.lazada.vn/cham-soc-cho-nguoi-cao-tuoi/?spm=a2o4n.pdp_revamp.breadcrumb.2.46124fe0gXXZbS
TH,LAZ,https://www.lazada.co.th/shop-senior-health/?spm=a2o4m.pdp_revamp.breadcrumb.2.4a2f7c380Kih00
MY,LAZ,https://www.lazada.com.my/shop-senior-health/?spm=a2o4k.pdp_revamp.breadcrumb.2.63081a9aARLUNN
TH,SHP,https://shopee.co.th/Wet-Wipes-cat.11044960.11045218.11046128
TW,SHP,https://shopee.tw/Pets-cat.11040647
PH,SHP,https://shopee.ph/Pet-Food-Treats-cat.11021881.11021884
KR,CPG,https://www.coupang.com/np/search?listSize=60&filterType=&rating=0&isPriceRange=false&minPrice=&maxPrice=&component=195166&sorter=scoreDesc&brand=&offerCondition=&filter=&fromComponent=N&channel=user&selectedPlpKeepFilter=&q=이클립스
KR,CPG,https://www.coupang.com/np/search?listSize=60&filterType=&rating=0&isPriceRange=false&minPrice=&maxPrice=&component=195166&sorter=scoreDesc&brand=&offerCondition=&filter=&fromComponent=N&channel=user&selectedPlpKeepFilter=&q=코피코
KR,CPG,https://www.coupang.com/np/search?listSize=60&filterType=&rating=0&isPriceRange=false&minPrice=&maxPrice=&component=195166&sorter=scoreDesc&brand=&offerCondition=&filter=&fromComponent=N&channel=user&selectedPlpKeepFilter=&q=롯데웰푸드
KR,CPG,https://www.coupang.com/np/search?listSize=60&filterType=&rating=0&isPriceRange=false&minPrice=&maxPrice=&component=195166&sorter=scoreDesc&brand=&offerCondition=&filter=&fromComponent=N&channel=user&selectedPlpKeepFilter=&q=츄파춥스
KR,CPG,https://www.coupang.com/np/search?listSize=60&filterType=&rating=0&isPriceRange=false&minPrice=&maxPrice=&component=195166&sorter=scoreDesc&brand=&offerCondition=&filter=&fromComponent=N&channel=user&selectedPlpKeepFilter=&q=호올스
KR,CPG,https://www.coupang.com/np/search?listSize=60&filterType=&rating=0&isPriceRange=false&minPrice=&maxPrice=&component=195166&sorter=scoreDesc&brand=&offerCondition=&filter=&fromComponent=N&channel=user&selectedPlpKeepFilter=&q=스톡 웨더스
KR,CPG,https://www.coupang.com/np/search?listSize=60&filterType=&rating=0&isPriceRange=false&minPrice=&maxPrice=&component=195166&sorter=scoreDesc&brand=&offerCondition=&filter=&fromComponent=N&channel=user&selectedPlpKeepFilter=&q=순수한집
KR,CPG,https://www.coupang.com/np/search?listSize=60&filterType=&rating=0&isPriceRange=false&minPrice=&maxPrice=&component=195166&sorter=scoreDesc&brand=&offerCondition=&filter=&fromComponent=N&channel=user&selectedPlpKeepFilter=&q=멘토스
KR,CPG,https://www.coupang.com/np/search?listSize=60&filterType=&rating=0&isPriceRange=false&minPrice=&maxPrice=&component=195166&sorter=scoreDesc&brand=&offerCondition=&filter=&fromComponent=N&channel=user&selectedPlpKeepFilter=&q=후르트텔라
KR,CPG,https://www.coupang.com/np/search?listSize=60&filterType=&rating=0&isPriceRange=false&minPrice=&maxPrice=&component=195166&sorter=scoreDesc&brand=&offerCondition=&filter=&fromComponent=N&channel=user&selectedPlpKeepFilter=&q=목캔디
KR,CPG,https://www.coupang.com/np/search?listSize=60&filterType=&rating=0&isPriceRange=false&minPrice=&maxPrice=&component=195166&sorter=scoreDesc&brand=&offerCondition=&filter=&fromComponent=N&channel=user&selectedPlpKeepFilter=&q=스키틀즈
KR,CPG,https://www.coupang.com/np/search?listSize=60&filterType=&rating=0&isPriceRange=false&minPrice=&maxPrice=&component=195166&sorter=scoreDesc&brand=&offerCondition=&filter=&fromComponent=N&channel=user&selectedPlpKeepFilter=&q=페레로로쉐
KR,CPG,https://www.coupang.com/np/search?listSize=60&filterType=&rating=0&isPriceRange=false&minPrice=&maxPrice=&component=195166&sorter=scoreDesc&brand=&offerCondition=&filter=&fromComponent=N&channel=user&selectedPlpKeepFilter=&q=가나
KR,CPG,https://www.coupang.com/np/search?listSize=60&filterType=&rating=0&isPriceRange=false&minPrice=&maxPrice=&component=195166&sorter=scoreDesc&brand=&offerCondition=&filter=&fromComponent=N&channel=user&selectedPlpKeepFilter=&q=킨더
KR,CPG,https://www.coupang.com/np/search?listSize=60&filterType=&rating=0&isPriceRange=false&minPrice=&maxPrice=&component=195166&sorter=scoreDesc&brand=&offerCondition=&filter=&fromComponent=N&channel=user&selectedPlpKeepFilter=&q=엠앤엠즈
KR,CPG,https://www.coupang.com/np/search?listSize=60&filterType=&rating=0&isPriceRange=false&minPrice=&maxPrice=&component=195166&sorter=scoreDesc&brand=&offerCondition=&filter=&fromComponent=N&channel=user&selectedPlpKeepFilter=&q=자유시간
