country,platform,seller_used_id,seller_url,seller_name
ID,SHP,ID.SHP.92781815,https://shopee.id/shop/92781815,
ID,SHP,ID.SHP.439585183,https://shopee.id/shop/439585183,
ID,SHP,ID.SHP.59510213,https://shopee.id/shop/59510213,
ID,SHP,ID.SHP.59899674,https://shopee.id/shop/59899674,
ID,SHP,ID.SHP.1041894695,https://shopee.id/shop/1041894695,
ID,SHP,ID.SHP.550817455,https://shopee.id/shop/550817455,
ID,SHP,ID.SHP.6936785,https://shopee.id/shop/6936785,
ID,SHP,ID.SHP.20090785,https://shopee.id/shop/20090785,
ID,SHP,ID.SHP.129201096,https://shopee.id/shop/129201096,
ID,SHP,ID.SHP.754378155,https://shopee.id/shop/754378155,
ID,SHP,ID.SHP.17677630,https://shopee.id/shop/17677630,
ID,SHP,ID.SHP.34412836,https://shopee.id/shop/34412836,
ID,SHP,ID.SHP.267063888,https://shopee.id/shop/267063888,
ID,SHP,ID.SHP.2223439,https://shopee.id/shop/2223439,
ID,SHP,ID.SHP.393033227,https://shopee.id/shop/393033227,
ID,SHP,ID.SHP.151653997,https://shopee.id/shop/151653997,
ID,SHP,ID.SHP.80053536,https://shopee.id/shop/80053536,
ID,SHP,ID.SHP.146104375,https://shopee.id/shop/146104375,
ID,SHP,ID.SHP.455592612,https://shopee.id/shop/455592612,
ID,SHP,ID.SHP.63334771,https://shopee.id/shop/63334771,
ID,SHP,ID.SHP.139447146,https://shopee.id/shop/139447146,
ID,SHP,ID.SHP.271993329,https://shopee.id/shop/271993329,
ID,SHP,ID.SHP.1180196891,https://shopee.id/shop/1180196891,
ID,SHP,ID.SHP.250644109,https://shopee.id/shop/250644109,
ID,SHP,ID.SHP.42185480,https://shopee.id/shop/42185480,
ID,SHP,ID.SHP.18647834,https://shopee.id/shop/18647834,
ID,SHP,ID.SHP.684724766,https://shopee.id/shop/684724766,
ID,SHP,ID.SHP.293264190,https://shopee.id/shop/293264190,
ID,SHP,ID.SHP.295432371,https://shopee.id/shop/295432371,
